"Datum","Transaktionsstatus","Transaktionstyp","Transaktionsnummer","Produktdetails","Artikelpreise gesamt","Gesamtsumme der Aktionsrabatte","Amazon-Gebühren","Andere","Summe (EUR)"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-8829582-0659512","Tajima Ersatzklingen für Cutter (Breite ...","14.09","0","-4.55","2.68","12.22"
"13.1.2023","Veröffentlicht","Erstattung","306-7064190-6638732","BAHCO BELZER GMBH PC-10-DT Feinsäge Prof...","-113.16","0","12.34","-5.5","-106.32"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-4027499-0248329","Tajima Ersatzklingen für Cutter (Breite ...","14.38","0","-4.59","2.73","12.52"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-7224208-4956317","Olfa L-schwere Messer Cutter mit Ein Sna...","10.58","0","-3.59","0","6.99"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-8468658-3754763","Tajima Japansäge Magnum 300 (Sägeblatt 3...","27.86","0","-10.45","5.29","22.7"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-5118493-3674751","Tajima Ersatzklingen für Cutter (Breite ...","14.39","0","-4.6","2.73","12.52"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-4535346-0309152","Tajima Ersatzklingen für Cutter (Breite ...","14.57","0","-4.62","2.77","12.72"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-0119458-4493131","beko FoodLine Lebensmittel-Schmieröl H1 ...","14.03","0","-5.59","2.66","11.1"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-4668566-9860354","Fermit Anti-Seize Kupferpastenspray 400m...","18.02","0","-9.66","3.6","11.96"
"13.1.2023","Veröffentlicht","Commingling VAT","1411041803","Tajima Razar Black 18 mm Klingen, Spender und Karte, 1 Stück, LCB50RBC/K1","0","0","0","-1.17","-1.17"
"13.1.2023","Veröffentlicht","Commingling VAT","1411041803","Tajima Razar Black 18 mm Klingen, Spender und Karte, 1 Stück, LCB50RBC/K1","0","0","0","0.97","0.97"
"13.1.2023","Veröffentlicht","Commingling VAT","1411041583","beko Fugenschnurz-Set Fugenspachtel - Set 200 5 001","0","0","0","-1.46","-1.46"
"13.1.2023","Veröffentlicht","Commingling VAT","1411041583","beko Fugenschnurz-Set Fugenspachtel - Set 200 5 001","0","0","0","1.77","1.77"
"13.1.2023","Veröffentlicht","Commingling VAT","1411039383","Tajima Razar Black 18 mm Klingen, Spender und Karte, 1 Stück, LCB50RBC/K1","0","0","0","-1.17","-1.17"
"13.1.2023","Veröffentlicht","Commingling VAT","1411039383","Tajima Razar Black 18 mm Klingen, Spender und Karte, 1 Stück, LCB50RBC/K1","0","0","0","0.97","0.97"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-2330115-1141948","Tajima Schlagschnurgerät Chalk-Rite Dura...","26.76","0","-7.23","5.09","24.62"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-5440241-8897919","Fugenmeister,R-03t,Radien AA83-teilig in...","9.31","0","-3.65","1.77","7.43"
"13.1.2023","Veröffentlicht","Commingling VAT","1411036343","beko Fugenschnurz-Set Fugenspachtel - Set 200 5 001","0","0","0","-1.77","-1.77"
"13.1.2023","Veröffentlicht","Commingling VAT","1411036343","beko Fugenschnurz-Set Fugenspachtel - Set 200 5 001","0","0","0","1.47","1.47"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-9262888-3038718","Fugenmeister,R-03t,Radien AA83-teilig in...","9.31","0","-3.65","1.77","7.43"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-6218925-5651551","Tajima Schaber 3 Klingen, Kurzstiel, 200...","19.29","0","-6.07","3.67","16.89"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-0607588-7181906","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-1277680-4894719","Tajima Ersatzklingen für Cutter (Breite ...","14.38","0","-4.59","2.73","12.52"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-4282995-5148342","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-4650297-4793934","Fugenmeister OFR-03 Radien optiform 3-te...","8.61","0","-3.4","1.64","6.85"
"13.1.2023","Veröffentlicht","Bezahlung der Bestellung","306-3929953-2500304","Tajima Ersatzklingen für Cuttermesser (1...","5.48","0","-2.92","1.04","3.6"
