"OrderDate.date"	"Order.id"	"Variation.number"	"OrderProperty.value"	"OrderProperty.value"	"Order.statusName"	"OrderItem.quantity"	"OrderParcelService.backendName"	"ShippingPackages.packageNumber"	
"2021-03-06 00:49:08"	439008	"Magma-J-KSWK250"	106	"304-7940808-3152355"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446151723051	
"2021-10-28 20:42:27"	542906	"Bahco-EX22XT9C"	106	"305-7846273-6869124"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446166526241	
"2021-10-28 20:42:27"	542906		106	"305-7846273-6869124"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446166526241	
"2021-10-29 11:04:19"	543147	"Stubai-S283907"	106	"304-9522034-5989903"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446166551273	
"2021-10-29 11:04:19"	543147		106	"304-9522034-5989903"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446166551273	
"2021-11-10 18:44:19"	548193	"Rubi-66900"	106	"028-5807006-2009142"	"[8.1] Storniert mit Gutschrift"	4	"DPD"	9446167238756	
"2021-11-10 18:44:19"	548193		106	"028-5807006-2009142"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446167238756	
"2021-11-12 18:04:31"	548870	"Silky-KSI635636"	106	"302-7461926-1212322"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446167376679	
"2021-11-12 18:04:31"	548870		106	"302-7461926-1212322"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446167376679	
"2021-11-14 19:22:02"	549470	"Protus-kx0500"	106	"303-0153192-4403516"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446167415786	
"2021-11-14 19:22:02"	549470		106	"303-0153192-4403516"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446167415786	
"2021-11-23 02:53:41"	552487	"Rennsteig-361.303.0"	106	"302-9498227-6886704"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168088019	
"2021-11-23 02:53:41"	552487		106	"302-9498227-6886704"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168088019	
"2021-11-23 14:51:59"	552623	"Heitmann-387-45"	106	"303-5667078-4010726"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168120097	
"2021-11-23 14:51:59"	552623		106	"303-5667078-4010726"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168120097	
"2021-11-23 18:46:51"	552666	"Nebo-NE6878"	106	"303-8730940-3961924"	"[8] Storniert ohne Gutschrift"	4	"DPD"	9446168139383	
"2021-11-23 18:46:51"	552666		106	"303-8730940-3961924"	"[8] Storniert ohne Gutschrift"	1	"DPD"	9446168139383	
"2021-11-24 12:41:05"	553077	"K-Stanley-1-93-978"	106	"302-3850713-0347547"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168234600	
"2021-11-24 12:41:05"	553077		106	"302-3850713-0347547"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168234600	
"2021-11-24 16:46:46"	553197	"Lamello-132322"	106	"303-2259368-2471538"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168259558	
"2021-11-24 16:46:46"	553197		106	"303-2259368-2471538"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168259558	
"2021-11-28 23:42:18"	554736	"Silky-KSI635636"	106	"028-3559512-8530710"	"[8.1] Storniert mit Gutschrift"	2	"DPD"	9446168529409	
"2021-11-28 23:42:18"	554736		106	"028-3559512-8530710"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168529409	
"2021-11-29 23:16:18"	554707	"DEWALT-DWST83395-1"	106	"028-8527666-6614755"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168710042	
"2021-11-29 23:16:18"	554707		106	"028-8527666-6614755"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168710042	
"2021-11-30 04:00:31"	555173	"Okatsune-KST213"	106	"306-4844483-5629111"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168727392	
"2021-11-30 04:00:31"	555173		106	"306-4844483-5629111"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446168727392	
"2021-12-03 16:19:26"	556791	"Rennsteig-140.075.0"	106	"303-3407320-3507542"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169045860	
"2021-12-03 16:19:26"	556791		106	"303-3407320-3507542"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169045860	
"2021-12-03 16:11:52"	556603	"DEWALT-DWST83395-1"	106	"305-0239449-0257119"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169069693	
"2021-12-03 16:11:52"	556603		106	"305-0239449-0257119"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169069693	
"2021-12-03 16:15:17"	556848	"Fivel-03-310BP010"	106	"305-9212409-1742717"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169069954	
"2021-12-03 16:15:17"	556848		106	"305-9212409-1742717"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169069954	
"2021-12-03 21:14:00"	556928	"K-Stanley-FMST1-80147"	106	"028-6259894-4098747"	"[8.1] Storniert mit Gutschrift"	2	"DPD"	9446169079099	
"2021-12-03 21:14:00"	556928		106	"028-6259894-4098747"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169079099	
"2021-12-04 05:36:22"	557014	"Heitmann-385-38"	106	"304-7925869-9352320"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169080325	
"2021-12-04 05:36:22"	557014		106	"304-7925869-9352320"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169080325	
"2021-12-04 05:39:53"	557076	"Famag-162201000"	106	"306-1120897-0370757"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169080655	
"2021-12-04 05:39:53"	557076		106	"306-1120897-0370757"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169080655	
"2021-12-05 19:58:22"	557467	"Silky-KSI522121"	106	"028-0184191-9660346"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169125850	
"2021-12-05 19:58:22"	557467		106	"028-0184191-9660346"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169125850	
"2021-12-06 15:00:56"	557758	"Silky-KSI522121"	106	"306-6771101-5989948"	"[8] Storniert ohne Gutschrift"	1	"DPD"	9446169220472	
"2021-12-06 15:00:56"	557758		106	"306-6771101-5989948"	"[8] Storniert ohne Gutschrift"	1	"DPD"	9446169220472	
"2021-12-06 20:03:08"	557930	"Kirschen-1101000"	106	"306-2517654-0901935"	"[8.1] Storniert mit Gutschrift"	1	"DPD"	9446169310823	
